1,3716,3716,413,248
2,23,23,1,0
3,36589,36589,6085,9
4,8639,8639,1018,134
5,1520,1520,577,30
6,3719,3719,480,312
7,9670,9670,2136,0
8,1943,1943,631,61
9,1236,1236,965,172
10,37856,37856,9673,5654
11,1188,1188,1991,0
12,203,203,61,21
13,19676,19676,3392,253
14,4317,4317,1452,608
15,22842,22842,5806,378
16,1705,1705,180,11
17,138,138,18,0
18,194,194,141,41
19,398,398,29,3
20,19767,19767,3554,49
21,2592,2592,355,87
22,26765,26765,8843,11
23,131392,131392,17519,36
24,37645,37645,9577,43
25,11280,11280,1921,30
26,81445,81445,16042,35
27,13397,13397,3211,242
28,930,930,158,4
29,55922,55922,6196,0
30,10036,10036,3110,90
31,2688,2688,8033,126
32,33316,33316,6109,25
33,3450,3450,200,12
34,14631,14631,4590,100
35,6275,6275,1621,7
36,24807,24807,5547,49
37,2778,2778,761,17
38,6191,6191,2322,1
39,1507,1507,503,13
40,2365,2365,475,13
41,7845,7845,866,16
42,8713,8713,2072,8
43,23410,23410,4556,149
44,1126,1126,164,6
45,8691,8691,560,409
46,14108,14108,1763,37
47,1506,1506,458,3
48,1436,1436,364,9
49,767,767,222,18
50,607,607,137,17
51,302,302,214,0
52,7790,7790,1184,102
53,1577,1577,289,6
54,4295,4295,931,111
55,3387,3387,1140,60
56,3735,3735,691,46
57,13576,13576,3456,1977
58,59571,59571,28761,465
59,51693,51693,14367,687
60,8863,8863,1903,40
61,27642,27642,5673,95
62,42943,42943,25554,1157
63,92,92,9,0
64,28403,28403,9086,232
65,561,561,165,1
66,1074,1074,518,7
67,1,1,1,0
68,17164,17164,2293,605
69,5835,5835,2325,10
70,6656,6656,1232,89
71,2284,2284,324,8
72,6,6,1,0
73,2953,2953,840,4
74,3141,3141,2362,215
75,36337,36337,4222,748
76,8703,8703,1144,84
77,13138,13138,1792,47
78,10548,10548,1544,426
79,110080,110080,32154,48
80,4759,4759,2297,77
81,6409,6409,1667,55
82,2301,2301,642,67
83,6241,6241,1738,488
84,41344,41344,3962,24
85,386,386,182,13
86,33860,33860,4818,10
87,19609,19609,3072,54
88,8235,8235,4136,127
89,30370,30370,5613,28
90,39902,39902,3606,13
91,37016,37016,13966,197
92,923,923,404,9
93,723,723,43,31
94,7367,7367,1795,9
95,10493,10493,2800,11
96,46966,46966,6372,97
97,2123,2123,568,10
98,17095,17095,3938,8
99,1,1,567,0
100,1082,1082,142,14
101,27130,27130,3868,33
102,19025,19025,2657,2
103,3475,3475,214,23
104,1433,1433,145,5
105,7486,7486,442,3
106,32,32,3,0
107,1649,1649,243,13
108,14421,14421,1696,38
109,14506,14506,1566,17
110,2564,2564,1273,44
111,33002,33002,6754,44
112,2808,2808,532,21
113,11778,11778,3388,0
114,5562,5562,703,2
115,10672,10672,810,5
116,4744,4744,717,8
117,17621,17621,2086,0
118,53603,53603,7114,19
119,666,666,133,9
120,32693,32693,10025,17
121,1914,1914,434,67
122,4732,4732,656,25
123,1346,1346,733,210
124,589,589,98,10
125,1559,1559,297,6
126,12388,12388,1262,62
127,3054,3054,672,19
128,11891,11891,2053,9
129,1541,1541,127,5
130,69,69,31,3
131,204,204,131,1
132,44260,44260,11192,0
133,672,672,172,24
134,633,633,382,29
135,5057,5057,2811,69
136,5092,5092,203594,514
137,6507,6507,2578,175
138,1227,1227,355,5
139,1374,1374,437,4
140,358,358,146,22
141,1121,1121,403,54
142,13639,13639,1402,170
143,1321,1321,75,33
144,113,113,17,1
145,445,445,2559,30
146,3683,3683,413,36
147,8648,8648,814,70
148,5738,5738,8593,5
149,25,25,84,0
150,20,50,0,2
151,5080,5080,1001,814
152,3914,3914,2145,21
153,828,828,260,90
154,173,173,87,66
155,1624,1624,288,1
156,13430,13430,4427,2102
157,1244,1244,192,46
158,3023,3023,441,144
159,3,3,28,0
160,146,146,35,1
161,363,363,27,0
162,293,293,110,6
163,30129,30129,18212,1124
164,8475,8475,2093,580
165,3383,3383,2272,255
166,678,678,272,19
167,16964,16964,11312,1594
168,1341,1341,444,241
169,2244,2244,267,72
170,0,0,15,2
171,890,890,2454,46
172,1371,1371,562,169
173,619,619,121201,3002
174,3794,3794,693,138
175,400,400,166,0
176,2924,2924,2848,324
177,33,33,2,0
178,16758,16758,5663,120
179,1478,1478,376,11
180,14219,14219,3221,142
181,37,37,1231,0
182,2783,2783,1758,311
183,8573,8573,999,89
184,25235,25235,4743,109
185,5247,5247,7355,703
186,55,55,13,0
187,498,498,216,64
188,1189,1189,1223,34
189,29815,29815,12147,22
190,188,188,60,0
191,172,172,32,2
192,3150,3150,832,13
193,977,977,558,7
194,2621,2621,401,41
195,25890,25890,3243,8
196,1011,1011,192,0
197,1200,1200,165,39
198,4037,4037,357,32
199,2042,2042,360,4
200,205,205,13,1
201,110,110,83,0
202,5522,5522,1052,130
203,4999,4999,582,96
204,5130,5130,2461,158
205,16919,16919,4357,1
206,3725,3725,866,293
207,4594,4594,1900,0
208,13385,13385,2648,207
209,183,183,65,0
210,144686,144686,35176,47
211,33366,33366,7262,54
212,4652,4652,1864,26
213,569,569,413,4
214,30,30,14,0
215,392,392,131,20
216,15488,15488,8202,735
217,14098,14098,5625,6606
218,306,306,87,15
219,143365,143365,80844,3494
220,8416,8416,2514,7
221,9079,9079,1146,211
222,15465,15465,3669,74
223,3528,3528,1987,0
224,42708,42708,18849,6025
225,6424,6424,2311,1174
226,3635,3635,1142,413
227,1123,1123,284,80
228,5615,5615,609,47
229,16227,16227,2889,197
230,16461,16461,6347,433
231,1445,1445,433,16
232,12860,12860,14117,471
233,3296,3296,1911,6
234,71,71,77,0
235,48633,48633,21062,235
236,5881,5881,861,97
237,3145,3145,468,46
238,5329,5329,1352,79
239,20,20,3,3
240,6884,6884,1220,464
241,5378,5378,1866,294
242,417,417,160,208
243,338,338,43,1
244,14658,14658,7194,338
245,99890,99890,52564,120
246,35621,35621,6872,54
247,2,2,3,0
248,5933,5933,2495,19
249,136,136,116,5
250,21374,21374,4670,714
251,7214,7214,3763,90
252,861,861,167,11
253,1758,1758,849,70
254,1175,1175,328,28
255,6455,6455,635,220
256,539,539,144,58
257,1435,1435,151,75
258,8736,8736,3117,301
259,4979,4979,468,52
260,17412,17412,914,24
261,733,733,79,6
262,570,570,55,42
263,3991,3991,535,121
264,94,94,12,2
265,0,0,1,0
266,3657,3657,795,83
267,5487,5487,539,17
268,19347,19347,2753,152
269,2481,2481,223,11
270,10791,10791,3233,889
271,1045,1045,502,497
272,7452,7452,1135,1
273,1803,1803,364,68
274,4772,4772,2654,124
275,1785,1785,347,65
276,418,418,65,11
277,4819,4819,2138,23
278,2114,2114,1214,48
279,82203,82203,11006,1137
280,5302,5302,606,44
281,1847,1847,345,23
282,331,331,49,1
283,28525,28525,4472,226
284,6815,6815,1433,190
285,5328,5328,1083,219
286,4316,4316,925,179
287,13589,13589,3828,403
288,628,628,57,4
289,5905,5905,1113,8
290,40674,40674,13936,1845
291,13855,13855,2648,16
292,90749,90749,12165,7570
293,192,192,224,0
